video_id,title,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,active_since_days
v=a6qHBgiMhFA,9 EPIC PRANKS FOR APRIL FOOLS' DAY,593,4860330,34,7,1,6,0,1,4.857142857142857,1,1,0.1,1460
v=xGyfma3v5Os,8 TRULY LIFE-CHANGING QUOTES,420,66927,28,4,1,3,0,0,7.0,1,1,0.0,1460
v=9QbZmOFTTGg,11 TESTS TO REVEAL YOUR TRUE PERSONALITY,625,3830595,40,7,0,6,0,2,5.714285714285714,1,1,0.35,1460
v=-Uz7Is9aaKM,18 JAW-DROPPING BODY FACTS YOU DIDN'T KNOW,574,5032602,42,7,2,6,0,2,6.0,1,1,0.0,1460
v=jdN2_Jq9c9w,"10 SIGNS THAT YOU AREN'T LAZY, YOU'RE GENIUS",432,3415187,44,8,3,7,0,4,5.5,1,1,-0.25,1460
v=fa8rR8-C0eI,10 LIFE-CHANGING HACKS WITH FORKS AND SPOONS,405,749957,44,7,1,6,0,2,6.285714285714286,1,1,0.0,1460
v=JGeOcudxSG0,12 REASONS WHY YOU SHOULD ALWAYS LOOK ON THE BRIGHT SIDE,900,2543415,56,11,0,10,0,5,5.090909090909091,1,1,0.7000000000000001,1460
v=ogmpqTGy-O4,20 DRINKS THAT WILL MAKE YOUR LIFE BETTER,708,322476,41,8,0,7,0,3,5.125,1,1,0.5,1460
v=bLDNUSoQEXc,15 GREAT SPRING CLEANING TIPS,570,1605389,29,5,0,4,0,0,5.8,1,1,0.8,1460
v=y1FfO5vNuu8,9 WONDERFUL RIDDLES TO TEASE YOUR BRAIN,380,3675967,39,7,0,6,0,2,5.571428571428571,1,1,1.0,1460
v=mrmjQ1IUcek,35 LESSONS LIFE WILL TEACH YOU,3600,249297,30,6,0,5,0,2,5.0,1,1,0.0,1460
v=iW2LtbMcNJk,30 COOL DIYs THAT ONLY COST ONE DOLLAR,960,1505659,38,8,0,6,0,2,4.75,1,1,0.175,1460
